
************************************************
Report:               average power
Design:               evlpMultiplier
Library File(s):      /home/cad/TSMC/13/synopsys/slow.db
Simulation period[1]: 0 ns - 127701 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Mon Jul 23 16:14:28 2007
************************************************

operating_condition_max_name: slow Library: slow

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier TSMC13_Conservative slow library default
hot_B_bit_ff       evMS_FlipFlop TSMC13_Conservative slow library default
feeder_reg/ff_30   evMS_Rstbl_FlipFlop_32 TSMC13_Conservative slow library default
feeder_reg/ff_31   evMS_Rstbl_FlipFlop_31 TSMC13_Conservative slow library default
mux                evlpMux2_1_wdt33 TSMC13_Conservative slow library default
mux/mux_0          evMUX2_1_168 TSMC13_Conservative slow  library default
mux/mux_1          evMUX2_1_167 TSMC13_Conservative slow  library default
mux/mux_2          evMUX2_1_166 TSMC13_Conservative slow  library default
mux/mux_3          evMUX2_1_165 TSMC13_Conservative slow  library default
mux/mux_4          evMUX2_1_164 TSMC13_Conservative slow  library default
mux/mux_5          evMUX2_1_163 TSMC13_Conservative slow  library default
mux/mux_6          evMUX2_1_162 TSMC13_Conservative slow  library default
mux/mux_7          evMUX2_1_161 TSMC13_Conservative slow  library default
mux/mux_8          evMUX2_1_160 TSMC13_Conservative slow  library default
mux/mux_9          evMUX2_1_159 TSMC13_Conservative slow  library default
mux/mux_10         evMUX2_1_158 TSMC13_Conservative slow  library default
mux/mux_11         evMUX2_1_157 TSMC13_Conservative slow  library default
